корпус;количество комнат;общая площадь;жилая площадь;стоимость
3;Студия;27,89;19,29;1869720,78
3;Студия;27,97;19,10;1875083,91
3;Студия;27,97;19,10;1875083,91
3;Студия;27,97;19,10;1875083,91
3;Студия;27,97;19,10;1875083,91
3;Студия;27,97;19,10;1875083,91
3;Студия;27,97;19,10;1875083,91
3;Студия;27,97;19,10;1875083,91
3;Студия;27,97;19,10;1875083,91
3;Студия;27,97;19,10;1875083,91
3;Студия;27,97;19,10;1875083,91
3;Студия;27,97;19,10;1875083,91
3;Студия;27,97;19,10;1875083,91
3;Студия;27,97;19,10;1875083,91
3;Студия;27,97;19,10;1875083,91
3;Студия;27,97;19,10;1875083,91
3;Студия;27,97;19,10;1875083,91
3;Студия;27,97;19,10;1875083,91
3;Студия;27,97;19,10;1875083,91
3;Студия;27,97;19,10;1875083,91
3;Студия;27,97;19,10;1875083,91
3;Студия;27,97;19,10;1875083,91
3;Студия;29,27;20,40;1962234,75
3;Студия;29,27;20,40;1962234,75
3;Студия;29,27;20,40;1962234,75
3;Студия;30,12;19,00;2019217,99
3;Студия;30,12;19,00;2019217,99
3;Студия;30,12;19,00;2019217,99
3;Студия;30,12;19,00;2019217,99
3;Студия;30,77;19,00;2062793,41
3;Студия;30,77;19,00;2062793,41
3;Студия;30,77;19,00;2062793,41
3;Студия;30,77;19,00;2062793,41
3;Студия;30,77;19,00;2062793,41
3;Студия;30,77;19,00;2062793,41
3;Студия;30,77;19,00;2062793,41
3;Студия;30,77;19,00;2062793,41
3;Студия;30,77;19,00;2062793,41
3;Студия;30,77;19,00;2062793,41
3;Студия;30,77;19,00;2062793,41
3;Студия;30,77;19,00;2062793,41
3;Студия;30,77;19,00;2062793,41
3;Студия;30,77;19,00;2062793,41
3;Студия;30,77;19,00;2062793,41
3;Студия;30,77;19,00;2062793,41
3;Студия;30,77;19,00;2062793,41
3;Студия;30,77;19,00;2062793,41
3;Студия;30,77;19,00;2062793,41
3;Студия;30,86;19,00;2068826,93
3;Студия;30,86;19,00;2068826,93
3;Студия;30,86;19,00;2068826,93
3;Студия;30,86;19,00;2068826,93
3;Студия;30,86;19,00;2068826,93
3;Студия;30,86;19,00;2068826,93
3;Студия;30,86;19,00;2068826,93
3;Студия;30,86;19,00;2068826,93
3;Студия;30,86;19,00;2068826,93
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;Студия;31,51;19,00;2112402,36
3;1;35,51;14,05;2221854,66
3;1;35,60;14,05;2227485,95
3;1;35,60;14,05;2227485,95
3;1;35,60;14,05;2227485,95
3;1;35,60;14,05;2227485,95
3;1;35,60;14,05;2227485,95
3;1;35,60;14,05;2227485,95
3;1;35,60;14,05;2227485,95
3;1;35,60;14,05;2227485,95
3;1;35,60;14,05;2227485,95
3;1;35,60;14,05;2227485,95
3;1;35,60;14,05;2227485,95
3;1;35,60;14,05;2227485,95
3;1;35,60;14,05;2227485,95
3;1;35,60;14,05;2227485,95
3;1;35,60;14,05;2227485,95
3;1;35,70;14,05;2233742,93
3;1;35,70;14,05;2233742,93
3;1;35,70;14,05;2233742,93
3;1;35,70;14,05;2233742,93
3;1;35,70;14,05;2233742,93
3;1;35,70;14,05;2233742,93
3;1;35,70;14,05;2233742,93
3;1;35,70;14,05;2233742,93
3;1;35,70;14,05;2233742,93
3;1;35,70;14,05;2233742,93
3;1;35,70;14,05;2233742,93
3;1;35,70;14,05;2233742,93
3;1;35,70;14,05;2233742,93
3;1;35,70;14,05;2233742,93
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;35,78;14,63;2238748,52
3;1;37,00;14,63;2315083,71
3;1;37,00;14,63;2315083,71
3;1;37,00;14,63;2315083,71
3;1;37,00;14,63;2315083,71
3;1;37,00;14,63;2315083,71
3;1;37,00;14,63;2315083,71
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;41,66;14,38;2606659,12
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,35;14,96;2649832,30
3;1;42,35;14,96;2649832,30
3;1;42,35;14,96;2649832,30
3;1;42,35;14,96;2649832,30
3;1;42,35;14,96;2649832,30
3;1;42,35;14,96;2649832,30
3;1;42,35;14,96;2649832,30
3;1;42,35;14,96;2649832,30
3;1;42,73;14,81;2673608,84
3;1;42,73;14,81;2673608,84
3;1;42,73;14,81;2673608,84
3;1;43,42;15,50;2716782,02
3;1;43,42;15,50;2716782,02
3;1;43,42;15,50;2716782,02
3;1;43,48;15,45;2720536,21
3;1;43,48;15,45;2720536,21
3;2;51,22;29,91;3262055,82
3;2;51,97;29,91;3309821,19
3;2;51,97;29,91;3309821,19
3;2;51,97;29,91;3309821,19
3;2;51,97;29,91;3309821,19
3;2;51,97;29,91;3309821,19
3;2;51,97;29,91;3309821,19
3;2;51,97;29,91;3309821,19
3;2;51,97;29,91;3309821,19
3;2;51,97;29,91;3309821,19
3;2;51,97;29,91;3309821,19
3;2;51,97;29,91;3309821,19
3;2;51,97;29,91;3309821,19
3;2;51,97;29,91;3309821,19
3;2;52,00;30,54;3311731,80
3;2;52,00;30,54;3311731,80
3;2;52,00;30,54;3311731,80
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,03;29,93;3313642,41
3;2;52,08;29,91;3316826,77
3;2;52,08;29,91;3316826,77
3;2;52,08;29,91;3316826,77
3;2;52,08;29,91;3316826,77
3;2;52,08;29,91;3316826,77
3;2;52,08;29,91;3316826,77
3;2;52,08;29,91;3316826,77
3;2;52,08;29,91;3316826,77
3;2;52,08;29,91;3316826,77
3;2;52,08;29,91;3316826,77
3;2;52,08;29,91;3316826,77
3;2;52,08;29,91;3316826,77
3;2;52,08;29,91;3316826,77
3;2;52,08;29,91;3316826,77
3;2;52,08;29,91;3316826,77
3;2;52,11;30,54;3318737,39
3;2;52,11;30,54;3318737,39
3;2;52,11;30,54;3318737,39
3;2;52,11;30,54;3318737,39
3;2;52,11;30,54;3318737,39
3;2;52,11;30,54;3318737,39
3;2;52,11;30,54;3318737,39
3;2;52,11;30,54;3318737,39
3;2;52,11;30,54;3318737,39
3;2;52,11;30,54;3318737,39
3;2;52,11;30,54;3318737,39
3;2;52,11;30,54;3318737,39
3;2;52,11;30,54;3318737,39
3;2;52,11;30,54;3318737,39
3;2;52,11;30,54;3318737,39
3;2;52,78;29,93;3361407,78
3;2;52,78;29,93;3361407,78
3;2;52,78;29,93;3361407,78
3;2;52,78;29,93;3361407,78
3;2;52,78;29,93;3361407,78
3;2;52,78;29,93;3361407,78
3;2;52,78;29,93;3361407,78
3;2;52,78;29,93;3361407,78
3;2;52,78;29,93;3361407,78
3;2;52,78;29,93;3361407,78
3;2;52,78;29,93;3361407,78
3;2;52,89;29,93;3368413,36
3;2;52,89;29,93;3368413,36
3;2;52,89;29,93;3368413,36
3;2;52,89;29,93;3368413,36
3;2;52,89;29,93;3368413,36
3;2;52,89;29,93;3368413,36
3;2;52,89;29,93;3368413,36
3;2;52,89;29,93;3368413,36
3;2;52,89;29,93;3368413,36
3;2;52,89;29,93;3368413,36
3;2;52,89;29,93;3368413,36
3;2;52,89;29,93;3368413,36
3;2;52,89;29,93;3368413,36
3;2;52,89;29,93;3368413,36
3;2;52,89;29,93;3368413,36
3;2;53,40;29,91;3400893,81
3;2;54,10;29,93;3445474,82
